nombreGrupo=Red Hidrometeorológica Nacional
idGrupo=1
nombreSensor=Limnimetro_10bA
idSensor=162
intervaloTemporal=mensual
fecha=2019


Fecha,    01,    02,    03,    04,    05,    06,    07,    08,    09,    10,    11,    12
3 - Aº Colastiné en Au,0,0,80,720,336,254,450,503,87
4 - Aº Del Medio en La,0,502,286,0,0,1544,744,563,18
12 - Aº Monje en Autop,0,0,0,0,367,47,617,502,0
179 - Compuerta Altern,0,0,0,0,0,0,0,580,87
10 - Laguna Mar Chiqui,527,599,675,673,618,546,615,631,85
21 - Río Arrecifes - A,0,0,1108,2584,2952,2665,2881,2789,344
22 - Río Atuel  El Sos,0,0,0,0,0,0,0,0,0
49 - RIO CHUBUT EN TRE,0,0,0,0,1200,583,712,683,82
17 - Río Chubut en Val,0,1305,510,0,196,0,0,316,192
2 - Río Gualeguaychú e,823,281,0,705,339,0,0,0,0
27 - Río Juramento - E,0,0,297,2780,2884,2602,2800,2708,335
20 - Rio Lujan - Lujan,0,0,970,2873,2973,2695,2894,2695,348
6 - Río Paraguay en Pt,583,2616,2404,2714,1380,14,186,178,22
26 - Río Paraguay - Pt,0,0,0,0,30,178,186,165,22
5 - Río Paraná en Corr,578,1753,2912,1654,716,646,655,650,85
25 - Río Paraná - Goya,0,0,657,2849,2881,2501,2160,1788,275
23 - Río Paraná - Itat,0,0,772,2734,1200,674,719,684,83
8 - Río Primero (Suquí,513,346,485,320,471,369,40,162,15
35 - Rio Quinto - Just,0,0,0,30,0,342,338,34,26
19 - Río Salado en San,0,236,1008,1377,2953,2628,2778,2661,343
1 - Río Salado – RP51 ,0,0,0,0,0,0,131,31,0
7 - Río Salto - Salto,0,0,432,330,0,777,2682,275,61
15 - Río Santa Cruz en,0,0,0,0,0,0,0,0,49
9 - Río Segundo (Pluju,527,662,723,684,653,530,547,435,85
192 - Río Senguer Puen,0,0,0,0,0,0,1094,2725,341
