nombreGrupo=Red Hidrometeorológica Nacional
idGrupo=1
nombreSensor=_Bateria
idSensor=8
intervaloTemporal=diario
fecha=2019-09


Fecha,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2 - Río Gualeguaychú e,0,0,0,0,0,0,0,0,0,0,0
169 - Río Gualeguay en,10,6,6,5,6,12,8,6,6,3,0
167 - Río Gualeguay Ro,8,6,8,3,6,9,6,2,4,2,0
71 - Rio Guayquiraró e,23,22,22,20,22,24,22,21,18,0,0
84 - Río Iguazú en Pue,6,6,6,6,6,6,6,6,6,3,0
27 - Río Juramento - E,95,90,92,94,91,92,94,90,93,38,0
20 - Rio Lujan - Lujan,96,96,96,96,96,96,96,96,96,40,0
70 - Río Lules en Potr,5,4,3,6,4,5,2,3,4,1,0
61 - Río Manso - Confl,5,6,6,6,6,6,2,0,2,3,0
63 - Río Mayo - Paso R,6,6,6,6,6,6,6,4,0,0,0
89 - Río Mendoza en Gu,6,6,6,6,6,6,6,5,5,3,0
55 - Río Neuquén en Ch,0,0,0,1,0,5,0,0,0,0,0
6 - Río Paraguay en Pt,6,6,6,6,6,6,6,6,6,3,0
26 - Río Paraguay - Pt,6,6,6,6,6,6,6,6,6,3,0
5 - Río Paraná en Corr,23,24,23,24,22,24,22,23,21,10,0
25 - Río Paraná - Goya,96,94,85,0,0,0,83,95,64,33,0
23 - Río Paraná - Itat,23,23,22,24,24,24,24,24,22,10,0
36 - Río Percey Ruta a,6,6,6,5,6,6,6,6,6,3,0
31 - Río Poti Malal en,6,6,6,6,6,6,6,6,6,3,0
8 - Río Primero (Suquí,8,7,0,0,0,0,0,0,0,0,0
39 - Rio Quequentreu e,6,6,6,6,6,6,6,5,6,3,0
35 - Rio Quinto - Just,24,2,0,0,0,0,0,0,0,0,0
30 - Río Salado en Cañ,6,6,6,6,6,6,6,6,6,3,0
19 - Río Salado en San,96,94,96,96,96,96,96,96,96,25,0
158 - Río Salado - Pin,6,6,6,6,6,6,6,6,6,3,0
194 - Rio Salado-RN2,0,0,1,0,0,7,1,0,5,1,0
1 - Río Salado – RP51 ,0,0,0,0,0,0,0,0,0,0,0
7 - Río Salto - Salto,24,24,13,8,24,24,21,24,24,10,0
15 - Río Santa Cruz en,0,11,24,24,24,24,24,24,24,10,0
9 - Río Segundo (Pluju,24,24,22,24,22,23,22,24,22,9,0
74 - Río Senguer en Sa,24,24,24,24,24,24,24,24,24,10,0
192 - Río Senguer Puen,95,94,94,95,93,95,92,95,91,38,0
163 - Río Tunuyan en V,2,1,2,0,1,2,1,2,1,0,0
75 - Río Uspallata - U,0,0,0,0,0,0,0,0,0,0,0
178 - Ruta Provincial ,24,24,23,24,23,24,24,18,0,0,0
174 - Seminario Dioces,4,4,4,4,4,4,4,4,4,1,0
38 - Senguer - LOS MOL,3,4,6,5,0,5,3,2,2,2,0
190 - Suncho Corral,12,12,11,9,12,12,12,12,12,5,0
73 - Tupungato en Punt,0,0,0,0,0,0,23,4,0,0,0
