nombreGrupo=Prueba
idGrupo=2
nombreSensor=__Bat_15b
idSensor=132
intervaloTemporal=03:00
fecha=2018-04-22


Fecha, 00:0, 03:0, 06:0, 09:0, 12:0, 15:0, 18:0, 21:0
18 - Prueba - GSM,0,0,0,0,0,0,0,0
