nombreGrupo=Prueba
idGrupo=2
nombreSensor=__Bat_15b
idSensor=132
intervaloTemporal=03:00
fecha=2018-06-18


Fecha,00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00
18 - Prueba - GSM,0,0,0,0,0,0,0,0
